"CreationDate","UserIds","Operations","CreationTime","Id","Operation","OrganizationId","RecordType","ResultStatus","UserKey","UserType","Version","Workload","ClientIP","ObjectId","UserId","AppId","AppPoolName","ClientAppId","CorrelationID","ExternalAccess","OrganizationName","OriginatingServer","Parameters[0].Name","Parameters[0].Value","Parameters[1].Name","Parameters[1].Value","Parameters[2].Name","Parameters[2].Value","Parameters[3].Name","Parameters[3].Value","RequestId","SessionId"
"3/12/2025 10:23:03 PM","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","disable-Mailbox","3/12/2025 10:23:03 PM","d937731a-5817-43cb-7650-08dd61b47463","disable-Mailbox","70e7f470-ed25-47f5-aa2f-096f0f44c831","1","True","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","3","1","Exchange","[2603:10b6:8::12]:18835","NAMP223A004.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/M365x44824121.onmicrosoft.com/Soft Deleted Objects/a06e7a6c-458d-4cf9-89a3-82415e08937a","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","","MSExchangeAdminApiNetCore","","","True","M365x44824121.onmicrosoft.com","PH7P223MB1013 (15.20.8511.025)","Identity","70e7f470-ed25-47f5-aa2f-096f0f44c831\199acdb0-75b2-4bf9-9d84-05bc896001eb","IncludeSoftDeletedMailbox","True","IgnoreLegalHold","False","DomainController","SJ0P223A04DC001.NAMP223A004.PROD.OUTLOOK.COM","d5a411b0-3f54-8143-4bd7-2f92cd789c12",""
"3/12/2025 10:23:03 PM","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","disable-Mailbox","3/12/2025 10:23:03 PM","a6d74153-319d-49e5-f858-08dd61b474b0","disable-Mailbox","70e7f470-ed25-47f5-aa2f-096f0f44c831","1","True","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","3","1","Exchange","[2603:10b6:8::12]:12876","NAMP223A004.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/M365x44824121.onmicrosoft.com/Soft Deleted Objects/d55572db-21c0-45aa-b806-56bc208b2b99","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","","MSExchangeAdminApiNetCore","","","True","M365x44824121.onmicrosoft.com","IA2P223MB1228 (15.20.8511.025)","Identity","70e7f470-ed25-47f5-aa2f-096f0f44c831\2aff9f8a-1136-4665-aba3-28ba32417997","IncludeSoftDeletedMailbox","True","IgnoreLegalHold","False","DomainController","SJ0P223A04DC001.NAMP223A004.PROD.OUTLOOK.COM","f963af71-51fc-0b80-23b1-a93ba0e6bb2c",""
"3/12/2025 10:19:46 PM","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","disable-Mailbox","3/12/2025 10:19:46 PM","f00dc514-7138-4ead-6141-08dd61b3ff57","disable-Mailbox","70e7f470-ed25-47f5-aa2f-096f0f44c831","1","True","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","3","1","Exchange","[2603:10b6:8::12]:28502","NAMP223A004.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/M365x44824121.onmicrosoft.com/Soft Deleted Objects/0e67dc42-79fc-4c7b-a755-f31edc2375b5","NT AUTHORITY\SYSTEM (Microsoft.Exchange.AdminApi.NetCore)","","MSExchangeAdminApiNetCore","","","True","M365x44824121.onmicrosoft.com","CH0P223MB0153 (15.20.8511.025)","Identity","70e7f470-ed25-47f5-aa2f-096f0f44c831\afaf8ef7-93f0-43d8-8d1b-e601c324202c","IncludeSoftDeletedMailbox","True","IgnoreLegalHold","False","DomainController","SJ0P223A04DC001.NAMP223A004.PROD.OUTLOOK.COM","f4467e50-447c-abb0-c274-7e432fc02675",""
